txid,timestamp,datetime_utc,src_ip,geo_country,asn,volume_usd,fee_btc,detected_pattern,confidence_score,chain_hops,mix_pool_size,evidence_details
e2fed5e0aa5932e2e1626d89921bd8cca0384347e6c4758239f91a1df5f7a664,1609494504,2021-01-01 09:48:24,167.99.224.65,US,"AS14061 DigitalOcean, LLC",475.2,3.261e-05,NONE,0.0,0,0,No overt structural laundering pattern observed.
8eee111208b41a8e07f62922833714fb59859d3fa3a19228dd62be0ab3ca9cf7,1609536412,2021-01-01 21:26:52,93.192.105.251,DE,AS3320 Deutsche Telekom AG,4511.2,0.00018346,NONE,0.0,0,0,No overt structural laundering pattern observed.
506b3db53ab61106e7dc4fec63935a340ada0c23320160a8248c68c13c47d0eb,1609563972,2021-01-02 05:06:12,104.24.113.175,US,"AS13335 Cloudflare, Inc.",11856.27,0.00014174,NONE,0.0,0,0,No overt structural laundering pattern observed.
3e221ecb10008105db5c5eb4a0e83fb4800fe4d206131091b7daeb14c53b27c7,1609573075,2021-01-02 07:37:55,167.99.70.160,US,"AS14061 DigitalOcean, LLC",310.89,0.00016026,NONE,0.0,0,0,No overt structural laundering pattern observed.
f078583f7c0588830d53df979a1073437d4b22d9bfb2ce6f1d018c07c9591dc0,1609584272,2021-01-02 10:44:32,93.190.225.50,NL,AS49981 WorldStream B.V.,958.47,3.665e-05,NONE,0.0,0,0,No overt structural laundering pattern observed.
afabb2a97231d93739a10da15d8a7a178d894a8702d1837abcdb15ad9ae20979,1609591845,2021-01-02 12:50:45,88.198.109.46,DE,AS24940 Hetzner Online GmbH,6368.17,0.00011065,NONE,0.0,0,0,No overt structural laundering pattern observed.
5752e91406057f74658d806b8a667154aca68cff6b7ae9f1143084245d34661f,1609602304,2021-01-02 15:45:04,20.42.230.97,US,AS8075 Microsoft Corporation,682.41,0.00011035,NONE,0.0,0,0,No overt structural laundering pattern observed.
b20c123e2043d3f94c711f9635a9c19463ae597486aea8988d1dcfb5cf8f38dc,1609631459,2021-01-02 23:50:59,54.210.90.225,US,"AS16509 Amazon.com, Inc. (AWS)",2410.18,0.00017315,NONE,0.0,0,0,No overt structural laundering pattern observed.
49592ea14634c37d70ad4b2f6a485784bc6285fdc53dc34018cb815dea275101,1609637153,2021-01-03 01:25:53,35.160.50.153,US,"AS16509 Amazon.com, Inc. (AWS)",32592.61,0.00012396,NONE,0.0,0,0,No overt structural laundering pattern observed.
3eed076b9c34085b99930c1f9f7fdbf435bd096e783b980d795b64e36ffcbb6c,1609639222,2021-01-03 02:00:22,65.21.97.75,DE,AS24940 Hetzner Online GmbH,3465.97,3.435e-05,NONE,0.0,0,0,No overt structural laundering pattern observed.
3fad9ac81f44012afe98421ca4da9758ef225821be2ccc72b1c7ac158da344ed,1609654575,2021-01-03 06:16:15,65.21.79.187,DE,AS24940 Hetzner Online GmbH,2163.2,0.00013643,NONE,0.0,0,0,No overt structural laundering pattern observed.
c83118411cd40965abef422c3642abf35b682b1143b9d06d1489c55dd8fc351c,1609682208,2021-01-03 13:56:48,54.210.127.183,US,"AS16509 Amazon.com, Inc. (AWS)",4150.62,9.415e-05,NONE,0.0,0,0,No overt structural laundering pattern observed.
3817bce2ec4cf41d7b2ccfb082c8e46bb6eae15049705216264fde7407928b2f,1609682568,2021-01-03 14:02:48,51.254.51.83,FR,AS16276 OVH SAS,1138.6,0.00016292,NONE,0.0,0,0,No overt structural laundering pattern observed.
6c0b551dc681b57c07b83a41cfc103a909086a2feb2042dde1beb59e35d9e86a,1609707184,2021-01-03 20:53:04,134.209.128.161,US,"AS14061 DigitalOcean, LLC",17056.32,0.00077,COINJOIN_MIXING,0.95,1,11,CoinJoin/Mixing detected: 11 inputs mixed into 22 outputs. Anonymity set of 11 participants with equal denomination of 0.01 BTC.
a4470c3e0511341dcc6c0e25b149ef5d324083c4d3db83593235aa3c394f92e2,1609752955,2021-01-04 09:35:55,88.198.64.67,DE,AS24940 Hetzner Online GmbH,1286.34,1.96e-05,NONE,0.0,0,0,No overt structural laundering pattern observed.
c1a38c0677fb072ad205e0ead5374afdc1a1c18506603e932aac7e1367cd281a,1609774394,2021-01-04 15:33:14,88.198.47.112,DE,AS24940 Hetzner Online GmbH,3868.45,1.851e-05,NONE,0.0,0,0,No overt structural laundering pattern observed.
934e172468d775610f21e33ce0e3b01eacd4dff7fcbd34a3616a9aa11ac60273,1609797032,2021-01-04 21:50:32,8.219.191.55,SG,AS37963 Alibaba Cloud,778.3,0.00018581,NONE,0.0,0,0,No overt structural laundering pattern observed.
73baba063fd86a1df594a0b592c57d923dcc856e318b23bd0e7463c9198dd4f2,1609832624,2021-01-05 07:43:44,182.72.43.178,IN,AS9498 BHARTI Airtel Ltd.,11232.31,0.00017353,NONE,0.0,0,0,No overt structural laundering pattern observed.
072653ed240b3e29e02758f2a007c5ca4cdb4fba9199c7694be44747bca22a6e,1609833095,2021-01-05 07:51:35,35.160.220.151,US,"AS16509 Amazon.com, Inc. (AWS)",1430.31,3.254e-05,NONE,0.0,0,0,No overt structural laundering pattern observed.
48fbbc70d9927c2e0d28b5cd6efb5df195852d250e868290f9280698a61d39df,1609835898,2021-01-05 08:38:18,163.172.132.179,FR,AS12876 SCALEWAY S.A.S.,401.52,6.983e-05,NONE,0.0,0,0,No overt structural laundering pattern observed.
affb04195a96fd0e08c6d80646760ccc697509fd8337aaf785097ef21c55e7ff,1609879806,2021-01-05 20:50:06,122.160.129.204,IN,AS9498 BHARTI Airtel Ltd.,1001.27,0.00014693,NONE,0.0,0,0,No overt structural laundering pattern observed.
6f1c344b0d5c40eabfd3b0ff4aed519b8812093a50810645ad485ada021eeeea,1609903191,2021-01-06 03:19:51,185.182.12.25,NL,AS49981 WorldStream B.V.,4853.67,0.00019916,NONE,0.0,0,0,No overt structural laundering pattern observed.
9d41d82a5294c14233a68c8f69c1343ca85712433affa725bbd645e3fd9bba81,1609912637,2021-01-06 05:57:17,93.192.228.123,DE,AS3320 Deutsche Telekom AG,4087.98,1.014e-05,NONE,0.0,0,0,No overt structural laundering pattern observed.
254c9ddc199c648ab26c6b1171caef3ed7d1b11aaa4bb0892c01c7240c5e915b,1609964804,2021-01-06 20:26:44,212.47.152.22,FR,AS12876 SCALEWAY S.A.S.,701.95,0.00012073,NONE,0.0,0,0,No overt structural laundering pattern observed.
3db0107f80ca86d66c2d8b662cea08930300911e379f498125dc7d5b3139606a,1610009223,2021-01-07 08:47:03,52.170.96.105,US,AS8075 Microsoft Corporation,6617.94,2.174e-05,NONE,0.0,0,0,No overt structural laundering pattern observed.
1f2595710c8da85ffb7efb688b96ff9e9b58cc111f32aac94628ac576230a890,1610019427,2021-01-07 11:37:07,35.230.50.39,US,AS15169 Google LLC,1813.24,0.00019721,NONE,0.0,0,0,No overt structural laundering pattern observed.
d2745a2e9488673c13438c5ef08eb51db0e0f25a5d1b0d277ff172cabb94fdb0,1610019495,2021-01-07 11:38:15,159.65.35.75,US,"AS14061 DigitalOcean, LLC",3871.26,8.552e-05,NONE,0.0,0,0,No overt structural laundering pattern observed.
6937f5f6aade64a4372163734bc38f3099b153aefd7a1d034443381f76efa5b5,1610037887,2021-01-07 16:44:47,52.170.64.140,US,AS8075 Microsoft Corporation,27008.77,0.00012133,NONE,0.0,0,0,No overt structural laundering pattern observed.
793f20a667b02746d87d0b786ff9be309ae792b912bfa905225a0d8cfd74f8e8,1610085367,2021-01-08 05:56:07,3.80.27.59,US,"AS16509 Amazon.com, Inc. (AWS)",1398.44,2.792e-05,NONE,0.0,0,0,No overt structural laundering pattern observed.
8333e2c21aced01aa155aea892d0927d73942d1bc90681356e9ccecd069e307d,1610111554,2021-01-08 13:12:34,213.120.154.2,GB,AS2856 British Telecommunications,721.91,3.922e-05,NONE,0.0,0,0,No overt structural laundering pattern observed.
5017079bc1ff6b5712c33d03ec330339f9e1e6474f76d7d80ebd6e214d1abf01,1610126480,2021-01-08 17:21:20,149.202.247.69,FR,AS16276 OVH SAS,1150.6,0.00013146,NONE,0.0,0,0,No overt structural laundering pattern observed.
246efdbd9a4ea7a0c056b1695036b9d9adbf49769802657f91aba0f2ce489573,1610137124,2021-01-08 20:18:44,185.182.85.155,NL,AS49981 WorldStream B.V.,884.28,0.00010673,NONE,0.0,0,0,No overt structural laundering pattern observed.
53448021f665b778f5c7fa067262bcd9a274c947ef40baef716e24c089040e73,1610191999,2021-01-09 11:33:19,167.99.22.239,US,"AS14061 DigitalOcean, LLC",11320.4,6.201e-05,NONE,0.0,0,0,No overt structural laundering pattern observed.
7f99e14e536bf9c05f0ff388836f99bff63baaf6a1dd378cae67ee6d9f823faf,1610280937,2021-01-10 12:15:37,3.80.139.121,US,"AS16509 Amazon.com, Inc. (AWS)",2710.3,0.00019629,NONE,0.0,0,0,No overt structural laundering pattern observed.
13a2c463c0b3820e45ca8fc61b2f99c24ecdcedd90afd21c0b9bff641a3d457a,1610295595,2021-01-10 16:19:55,88.198.231.101,DE,AS24940 Hetzner Online GmbH,177195.75,0.01694,COINJOIN_MIXING,0.95,1,11,CoinJoin/Mixing detected: 11 inputs mixed into 22 outputs. Anonymity set of 11 participants with equal denomination of 0.5 BTC.
c0cfc81bdf91339899203fbe76d4f5ef5653c92f07d70f882e846665764e17c0,1610309043,2021-01-10 20:04:03,167.99.8.217,US,"AS14061 DigitalOcean, LLC",1023.35,5.811e-05,NONE,0.0,0,0,No overt structural laundering pattern observed.
0dcdceea541d7fbd72a8cb5f61f21d94553f88898b246026310729439480a3e1,1610349023,2021-01-11 07:10:23,54.210.182.148,US,"AS16509 Amazon.com, Inc. (AWS)",1408.62,5.07e-05,NONE,0.0,0,0,No overt structural laundering pattern observed.
57ce3cc49f133a673968b5c5e7ca2a843c2de8db8dfb0562ba902346efd10dda,1610351954,2021-01-11 07:59:14,217.80.155.221,DE,AS3320 Deutsche Telekom AG,10874.46,4.467e-05,NONE,0.0,0,0,No overt structural laundering pattern observed.
7b2215ff01f68a011c26d1a9ce9f9e56fe0dc5c07c84ca29cf8902966b48509f,1610375928,2021-01-11 14:38:48,167.99.59.121,US,"AS14061 DigitalOcean, LLC",291.61,9.511e-05,NONE,0.0,0,0,No overt structural laundering pattern observed.
67d92d28ace8b4a2548b0bbd989aee86864f84f7da87eac4b91a49dbcd748a7b,1610384570,2021-01-11 17:02:50,54.210.109.147,US,"AS16509 Amazon.com, Inc. (AWS)",2177.11,3.23e-05,NONE,0.0,0,0,No overt structural laundering pattern observed.
9753fc05fcb2132fbd497ca1780bb7bfbce8b583ded06ef0ac17cdd7012b4d02,1610403151,2021-01-11 22:12:31,40.114.121.226,US,AS8075 Microsoft Corporation,130788.72,0.01232,COINJOIN_MIXING,0.95,1,8,CoinJoin/Mixing detected: 8 inputs mixed into 16 outputs. Anonymity set of 8 participants with equal denomination of 0.5 BTC.
559801556f43030671cc008af21cdff980982e8a34bd669065a602421923eeb4,1610415696,2021-01-12 01:41:36,88.198.247.166,DE,AS24940 Hetzner Online GmbH,1684.92,0.00016189,NONE,0.0,0,0,No overt structural laundering pattern observed.
