txid,timestamp,datetime_utc,src_ip,dst_ip,src_port,dst_port,geo_country,asn,script_type,input_addresses,output_addresses,input_amounts,output_amounts,input_count,output_count,total_input_btc,total_output_btc,fee_btc,btc_price_usd,volume_usd,fee_usd,pattern_label
cdbce5a7f80a3b81fb1b1899a13cfab215b8e5e019cae26a33aa45702c7fa8c5,1609494504,2021-01-01 09:48:24,167.99.224.65,163.172.167.79,1060,8333,US,"AS14061 DigitalOcean, LLC",P2WPKH,"[""bc1qdegtvmqyrc30rjlrj5s9pgcvtz864jaqsgvdrv""]","[""3wDMK8ktFZSXHapaf98fvzFVUKwmj"", ""bc1qteplr3rv5hjkpcctxeygr50yk8xqaca64quwud""]",[0.016397],"[0.008253, 0.008111]",1,2,0.016397,0.016364,3.261e-05,29039.31,475.2,0.947,NORMAL
a6e484e2f752b99ec315f86a7a8809a968a7f3f2648c3249fd888810624f3151,1609536412,2021-01-01 21:26:52,93.192.105.251,125.16.220.2,20798,8333,DE,AS3320 Deutsche Telekom AG,P2WPKH,"[""bc1qd2pw8h3hafqshmkrfgrsgkca6ed2fd5mf84lge""]","[""3CLGePverpWhcstuGh4zw5HiosNLwqmd"", ""bc1qxfcwdppksyr8307sf8zludzjhngq3ka30tg7sa""]",[0.155155],"[0.081365, 0.073607]",1,2,0.155155,0.154972,0.00018346,29109.78,4511.2,5.3405,NORMAL
ec9c9bd635527ecf84c86b3515602768668f8aeba1a63d9878ab19083bfa33d0,1609563972,2021-01-02 05:06:12,104.24.113.175,81.134.4.156,56032,8333,US,"AS13335 Cloudflare, Inc.",P2WPKH,"[""bc1q6urx9vyzrt7w5xxvw86kkhlpazc087syfcxvyg""]","[""bc1qffp6r9twev2aepfkxcy0cdm6utm0uykzj598du"", ""bc1qm7kyqsf6v364tfv65ke0nzzrv6lwj2z0srvkj3""]",[0.40688],"[0.273982, 0.132756]",1,2,0.40688,0.406738,0.00014174,29149.65,11856.27,4.1317,NORMAL
2c44dce39a82164b59235c67c9ef0931c7e129f99140a1f2156212b4b570c862,1609573075,2021-01-02 07:37:55,167.99.70.160,65.21.17.67,22248,8333,US,"AS14061 DigitalOcean, LLC",Taproot,"[""bc1pulgy6zp5du0szyt2qfkhlmeddwn73ycl4yjx4ft5krx8enchexc6ejs4f4""]","[""1rHfhWHJB3BPL17ygSGTH5oannh"", ""bc1pve83plsutn90zlnxakgrrcv2j9dsar7fzupegz98a56pmt5v6s92ad9nxj""]",[0.010824],"[0.004438, 0.006226]",1,2,0.010824,0.010664,0.00016026,29153.24,310.89,4.6721,NORMAL
8779c8898b411ce0f2508ace3187ca787d664a0c45411ee4101e711e174c1362,1609584272,2021-01-02 10:44:32,93.190.225.50,136.243.252.114,53432,8334,NL,AS49981 WorldStream B.V.,P2WPKH,"[""bc1qd0dzqhx434g9n2yhqwnxlqpfl8lssnxn2dlhx5""]","[""bc1qjgplkpfkf4qxsstg8dmvkayexwq5l09ruycyc4"", ""bc1q3nkz3xv3ftmkyck66v8vuz0fznuaqqttxm379s""]",[0.032895],"[0.014736, 0.018122]",1,2,0.032895,0.032858,3.665e-05,29169.98,958.47,1.0691,NORMAL
5f7cda904e7ead4b8ce98c6188f46bef9678ae3971862fa279ba2884a6da203a,1609591845,2021-01-02 12:50:45,88.198.109.46,134.209.187.149,61146,8333,DE,AS24940 Hetzner Online GmbH,P2PKH,"[""1QxBxrwiu6ECFmssYLWLzHc67uoEAKECX3""]","[""3KP8wr8XV2U4pF7p1p41HuKo4WHzE1AG"", ""1drJohokvZChKFx5EyiKzWSv2wu""]",[0.218159],"[0.115956, 0.102092]",1,2,0.218159,0.218048,0.00011065,29205.35,6368.17,3.2316,NORMAL
036a0bd2a4b9c94349a36d8405da15ca3e452a8bb22bad34be38cb928e18bd2f,1609602304,2021-01-02 15:45:04,20.42.230.97,212.48.142.201,54461,8334,US,AS8075 Microsoft Corporation,Taproot,"[""bc1pu67htyf5zkreyc7l8ga3ytg8vhj7v7cmccnju74upxattgckmzaynafxa6"", ""bc1p5vu0svnfww76v4f8zf273ca32zj34n5d2j42ygxvnlgtrqy6ywwfrwu9ha""]","[""bc1qlljy5k3fg53z94j55689p59t7pjn2qdmdk4rgg2rl8snkmxrq9sqjs7s46"", ""bc1p83avu2gtpuw8rvyy60380pwge2sf9zdnrvcxngsf4s65x9u42dzywqfkyz""]","[0.012287, 0.011193]","[0.016114, 0.007256]",2,2,0.02348,0.02337,0.00011035,29200.41,682.41,3.2223,NORMAL
d8a1f773a5c6bf241326b177ac0dd2c42f48fc8b4cb8971f2132182f44ee7f12,1609631459,2021-01-02 23:50:59,54.210.90.225,65.21.171.246,11184,8333,US,"AS16509 Amazon.com, Inc. (AWS)",P2WPKH,"[""bc1q66app69gn0hgjregeqaar9r3x4xj74r8rdflgw"", ""bc1qfnnqlv8yqf8x0dx7puer8ne7t0su8mfptf02v7"", ""bc1qjxlh3ecxa6mfpja8cqnzuzkgaa3q2kdkcytfk4""]","[""3S5viXRXfjCdnZrjaH9mMeePegvS532"", ""bc1q2wxxl75w0xtc6yrs8zyuhpt5xucgvvslujwv2m""]","[0.028906, 0.026874, 0.026771]","[0.029328, 0.05305]",3,2,0.082551,0.082378,0.00017315,29257.6,2410.18,5.066,NORMAL
a22ba54aa4226354ff66460191509d88166e210f6f74cd7f5c1878d5890851e6,1609637153,2021-01-03 01:25:53,35.160.50.153,65.21.205.186,3886,8333,US,"AS16509 Amazon.com, Inc. (AWS)",P2SH,"[""3yCFVwiNr7GK4AQ1HNzBURpYZS97"", ""3NZk3DbkZmir77vraUMVyxzuoNpWjDv3vw""]","[""13DfR43qTkMYf8DYYENE4GuG6myBFcF"", ""3wBa3Lt5w6198V4xAH3TrJETPvkEWQK2L""]","[0.556838, 0.556832]","[0.59207, 0.521476]",2,2,1.11367,1.113546,0.00012396,29269.21,32592.61,3.6282,NORMAL
c105d4af0449085a6ed314330e385fd514ab7af421470313875c4b473f999531,1609639222,2021-01-03 02:00:22,65.21.97.75,35.160.184.99,44168,18333,DE,AS24940 Hetzner Online GmbH,P2SH,"[""36NxYzCKut6ot3cXgvAtwBUG1wdWW3""]","[""bc1qux30qdhexl44u9ulgajm7ywpn65wy0z9h23vsn"", ""35ZdqF5T7RkE1XwfRgSkYzGRG56w6X5uA""]",[0.118546],"[0.063866, 0.054646]",1,2,0.118546,0.118512,3.435e-05,29245.72,3465.97,1.0046,NORMAL
