wallet_address,risk_score,risk_tier,is_taint_seed,entity_group,in_degree,out_degree
3CRy8EUTD3rz9WKqdLLPvpaawQF,1.0,CRITICAL,1,ENTITY_00110,5,1
3Gg1WaY89FRsuHUNW3f9t7MKP2V,1.0,CRITICAL,1,ENTITY_01502,5,1
bc1pj0tyw4mpxr0ywsyrq99lljrqkpmhqfvda78hsd2hejrwvyz4u3j95yv5ag,1.0,CRITICAL,1,ENTITY_01037,5,1
3W3inAEo6vkvzG8rHEDay3h2K1PLr5Qv,1.0,CRITICAL,1,ENTITY_00531,5,1
3fs816NvjmJxjVtSvMMQsme7Zf6GvGcCM,1.0,CRITICAL,1,ENTITY_00171,5,1
bc1qssx469fdf2t6n2k0jgeasrfyedpx850ch5vn43,1.0,CRITICAL,1,ENTITY_01735,5,1
bc1pvr5mx2yhnuu4427cqa6x33p7l9t9ed0kenpvrxq408rr09nxk70ch89epu,1.0,CRITICAL,1,ENTITY_01983,5,1
bc1qz7trz3sevkrh3ves9z4fjazxf4fhekss0y9e8d,1.0,CRITICAL,1,ENTITY_00132,5,1
3z8xcfcq363Zpp5RA9jfr5kM58cbaVqd,1.0,CRITICAL,1,ENTITY_00590,5,1
bc1qkdj8jjmh6q0l687g50uptefsvqyamjtz8htprq,1.0,CRITICAL,1,ENTITY_01285,5,1
bc1p8ha50kced9nj9edmccqsg3w86rrxkd59s2ypawzy4k8m0ydvxqffyga5aa,1.0,CRITICAL,1,ENTITY_00234,5,1
bc1qkwkp47pj0d8yn4amx52vw9utlexzwkervmdtp0,1.0,CRITICAL,1,ENTITY_01186,5,1
3sU6bPipVanGyxKCAyUnBJjCYAAJhAvxnP,1.0,CRITICAL,1,ENTITY_00333,5,1
3b3e5oSdt6xGzgzaZjJLJmD67AjnzsYsq,1.0,CRITICAL,1,ENTITY_00137,5,1
bc1pv4pm399scexfvahz70hywu2mm5v7n6mll485qyrkh43dj46e84er62jw5g,1.0,CRITICAL,1,ENTITY_01367,5,1
bc1pf096789awkt22038lusfndpzngxwa9kf86e0cn0lhft5dlmralerxk2g7d,1.0,CRITICAL,1,ENTITY_00690,5,1
bc1qsrw6a2xak4hrgewfcf8fpe3mjkljdrey2zuzcc,1.0,CRITICAL,1,ENTITY_00708,5,1
bc1psfdsar4grjhl0lfjmczz27pxl5meg4du8k9cmyqqvf5gv3kgft8p68pyjl,1.0,CRITICAL,1,ENTITY_01774,5,1
32re1XKQHm5uGGG5HVhsGRdUk8F,1.0,CRITICAL,1,ENTITY_01455,5,1
bc1q24epl3mavnnnej84mcecy9v66pgutfevhyauj5,1.0,CRITICAL,1,ENTITY_01467,5,1
bc1prt5y5ru5cvqd0l5808thgy0nm30hqxuy6x0hk8zvpws70zfu82hwjpw084,1.0,CRITICAL,1,ENTITY_00356,5,1
bc1qavr3t3vn5u43tcc3xqvm7tj3fe2xxty92yue68,1.0,CRITICAL,1,ENTITY_01795,5,1
bc1q9fqejs6yfprenvcp46mv52pdd3xxmvwlyfk262,1.0,CRITICAL,1,ENTITY_00928,5,1
bc1q2ftk2zae57a5xmshp48j479f60t46x5dulgkjw,1.0,CRITICAL,1,ENTITY_01251,5,1
bc1q24lxrkakqde5lhs2klums7fqqu0x2aejhe8cc8,1.0,CRITICAL,1,ENTITY_01350,5,1
3NQ41DSwPW2S7zwGzMyfmiCLPbV2tgt8wB,0.9933,CRITICAL,1,ENTITY_05041,6,1
35kQcW6Kk7hFNLc7Hz7a4zbM7gxmasYcM,0.988,CRITICAL,1,ENTITY_02205,6,1
3UqABVpog2p12P5TnQzXEU9N4vNCJo18di,0.9825,CRITICAL,1,ENTITY_00130,5,1
3nYXkRENm6vtvhF8DnX1wsyFm3E2yNY,0.9825,CRITICAL,1,ENTITY_00653,5,1
bc1qwlzdu8h4gvydvrxpjy0ykuj86dy99z5qgk9kt0,0.9825,CRITICAL,1,ENTITY_01965,5,1
3cPQDUXcrPjMPMh6xRBuUTCYGkZd,0.9825,CRITICAL,1,ENTITY_00011,5,1
3sJEKq6ZHiPbuLoB3CM5y1kWKZi,0.9825,CRITICAL,1,ENTITY_00566,5,1
bc1qcmgqlmag0dwnt05w8cjgkjmp9hzrfstysl4m66,0.9825,CRITICAL,1,ENTITY_00005,5,1
bc1pjfcm69mtz36zlr3ppwyhmc5s2vvj3atvlf46cnzjkz57qwfqaaddeg3uv6,0.9825,CRITICAL,1,ENTITY_01303,5,1
